#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1             10.6438             10.6438                   0
                   2             10.3249             10.4843            0.112748
                   3             13.4359             11.4682            0.806819
                   4              9.9022             11.0767            0.693626
                   5             11.6636             11.1941            0.564746
                   6             10.3931             11.0606            0.486144
                   7             11.4342              11.114            0.419614
                   8              11.133             11.1163            0.367169
                   9             12.2099             11.2378            0.345894
                  10             11.8978             11.3038            0.317538
                  11              9.2795             11.1198            0.337816
                  12             10.6965             11.0845            0.311501
                  13             11.3545             11.1053            0.288231
                  14              8.9787             10.9534            0.305054
                  15             10.3114             10.9106            0.287704
                  16              9.9005             10.8475            0.276562
                  17             10.5944             10.8326            0.260694
                  18             13.5851             10.9855            0.287584
                  19             13.1889             11.1015            0.294905
                  20             13.5994             11.2264            0.305465
