#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              5.2557              5.2557                   0
                   2               4.642             4.94885            0.216976
                   3              4.0878             4.66183            0.275396
                   4              3.9655             4.48775            0.255715
                   5              4.1701             4.42422            0.212317
                   6              4.1144             4.37258            0.183103
                   7               4.242             4.35393            0.157893
                   8              4.7687             4.40578            0.146421
                   9              3.8547             4.34454             0.14238
                  10              5.2084             4.43093            0.152107
                  11              4.0371             4.39513            0.142431
                  12              5.0195             4.44716            0.139742
                  13               3.898             4.40492            0.135227
                  14              4.8163              4.4343            0.128721
                  15              4.4419             4.43481            0.120141
                  16              4.5544             4.44228            0.112864
                  17              5.2559             4.49014            0.115929
                  18              4.7589             4.50507            0.110446
                  19              4.9558             4.52879            0.107151
                  20              4.6041             4.53256            0.101859
