#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              0.8519              0.8519                   0
                   2              0.8278             0.83985          0.00852064
                   3              0.9921              0.8906           0.0418247
                   4              0.9615            0.908325            0.034923
                   5              0.5326             0.83318           0.0727872
                   6              0.9104             0.84605           0.0617833
                   7              0.8989              0.8536           0.0534164
                   8               0.953            0.866025           0.0481628
                   9              0.9507            0.875433           0.0437206
                  10              0.9933             0.88722           0.0409065
                  11               0.801            0.879382           0.0379313
                  12               0.844            0.876433           0.0348847
                  13              0.7959            0.870238           0.0327467
                  14               0.832            0.867507           0.0305214
                  15               0.815            0.864007           0.0286866
                  16              0.8727             0.86455           0.0268989
                  17              0.7999            0.860747            0.025584
                  18              0.8984            0.862839            0.024248
                  19              0.8628            0.862837           0.0229718
                  20              0.8118            0.860285           0.0219645
