#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              1.2205              1.2205                   0
                   2              1.6639              1.4422            0.156766
                   3              1.9437             1.60937            0.171908
                   4              2.0467              1.7187            0.159964
                   5              1.8636             1.74768             0.13057
                   6              1.4331             1.69525             0.11887
                   7              1.5381              1.6728            0.103987
                   8              2.0274             1.71713           0.0999899
                   9              1.8268             1.72931           0.0896194
                  10              1.4447             1.70085           0.0850568
                  11              2.0705             1.73445           0.0836998
                  12              1.7578              1.7364           0.0767475
                  13              1.6006             1.72595           0.0715512
                  14              1.6451             1.72018           0.0666731
                  15              1.5331             1.70771            0.063384
                  16              1.3208             1.68352           0.0638689
                  17              0.9987             1.64324           0.0716992
                  18              1.8172             1.65291           0.0683641
                  19              1.9033             1.66608            0.066024
                  20               1.618             1.66368           0.0627666
