#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              2.5923              2.5923                   0
                   2              3.4678             3.03005            0.309536
                   3              3.6275              3.2292            0.262724
                   4              3.4786             3.29155            0.204307
                   5               2.926             3.21844            0.176042
                   6               2.916             3.16803            0.153749
                   7              3.1481             3.16519            0.131811
                   8                3.48             3.20454            0.121066
                   9               3.951             3.28748            0.133025
                  10               2.726             3.23133            0.131037
                  11              3.1958              3.2281            0.119165
                  12               2.865             3.19784            0.113011
                  13               3.103             3.19055            0.104553
                  14              3.2263              3.1931           0.0971158
                  15              3.1509             3.19029           0.0906822
                  16              2.3496             3.13774           0.0990741
                  17              2.2089             3.08311            0.107259
                  18              4.0245             3.13541            0.113336
                  19               2.795             3.11749            0.108778
                  20              2.6188             3.09256            0.106158
