#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              2.1707              2.1707                   0
                   2               1.853             2.01185            0.112324
                   3              1.9554             1.99303           0.0764425
                   4              1.6794             1.91463           0.0888698
                   5              1.3113             1.79396            0.129239
                   6              1.7437             1.78558             0.10797
                   7              1.5019             1.74506           0.0998622
                   8              2.0242             1.77995           0.0932764
                   9               1.831             1.78562           0.0830847
                  10              1.9754              1.8046           0.0769131
                  11              1.9695             1.81959           0.0713669
                  12              2.0208             1.83636           0.0673606
                  13              1.8069             1.83409           0.0622172
                  14              1.9146             1.83984           0.0580382
                  15               1.423             1.81205            0.060457
                  16               2.019             1.82499           0.0580456
                  17              1.6539             1.81492           0.0554967
                  18              1.6311             1.80471           0.0533449
                  19              2.0092             1.81547           0.0516116
                  20              1.8015             1.81477           0.0490357
