#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             35.5361             35.5361                   0
                   2              36.734             36.1351             0.42351
                   3             35.6741             35.9814             0.30896
                   4             35.3631             35.8268            0.267615
                   5             36.6288             35.9872            0.257711
                   6             36.8976             36.1389            0.255549
                   7             36.5188             36.1932             0.22473
                   8             36.1573             36.1887            0.196684
                   9             35.9249             36.1594            0.177001
                  10             36.6573             36.2092            0.166155
                  11              36.314             36.2187            0.151323
                  12             36.7337             36.2616            0.144669
                  13             35.8388             36.2291            0.137148
                  14             35.8085             36.1991            0.130601
                  15             35.7894             36.1717            0.124718
                  16              36.026             36.1626            0.117255
                  17             35.1459             36.1028            0.124682
                  18             36.8171             36.1425            0.123908
                  19             35.6789             36.1181            0.119766
                  20             36.0142             36.1129             0.11389
