#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             5.60287             5.60287                   0
                   2             5.48082             5.54185           0.0431543
                   3             5.60249             5.56206           0.0331677
                   4             5.64519             5.58284           0.0307045
                   5             5.69111              5.6045           0.0312809
                   6             5.56943             5.59865           0.0266079
                   7             5.53595             5.58969           0.0242677
                   8             5.64171              5.5962            0.022088
                   9             5.54931             5.59099            0.020239
                  10             5.61758             5.59365           0.0183889
                  11             5.57212             5.59169            0.016821
                  12             5.66295             5.59763           0.0164341
                  13             5.63913             5.60082           0.0154769
                  14              5.6118              5.6016           0.0143913
                  15             5.52579             5.59655           0.0142919
                  16             5.65147             5.59998           0.0138048
                  17             5.61169             5.60067           0.0130099
                  18             5.48177             5.59407            0.013863
                  19             5.57212             5.59291           0.0131814
                  20             5.52675              5.5896           0.0129307
