#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1               12.32               12.32                   0
                   2             13.4098             12.8649            0.385302
                   3             16.2468             13.9922            0.955607
                   4             13.3914              13.842            0.728414
                   5             13.6236             13.7983            0.584039
                   6             14.4823             13.9123              0.4977
                   7             14.0495             13.9319            0.426986
                   8             14.7933             14.0396            0.386951
                   9             14.9283             14.1383            0.356333
                  10             12.6451              13.989            0.350594
                  11             10.9589             13.7135            0.412996
                  12             13.0025             13.6543            0.382807
                  13             15.0393             13.7608            0.367887
                  14             11.9897             13.6343             0.36271
                  15             13.2836             13.6109            0.339282
                  16             14.0396             13.6377            0.319133
                  17             13.8231             13.6486            0.300547
                  18             15.1245             13.7306            0.294822
                  19             15.4894             13.8232            0.293477
                  20             15.1388              13.889             0.28608
