#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              5.6956              5.6956                   0
                   2              6.7828              6.2392            0.384383
                   3              5.1037              5.8607            0.401466
                   4              5.0432             5.65632            0.349268
                   5              6.5284             5.83074            0.320014
                   6              6.2634             5.90285            0.274682
                   7              6.5261             5.99189            0.249455
                   8              6.0345             5.99721             0.21833
                   9              6.5361             6.05709            0.202115
                  10              5.7468             6.02606             0.18427
                  11               5.439             5.97269            0.175076
                  12               5.116              5.9013            0.174436
                  13              6.2774             5.93023            0.163399
                  14               6.551             5.97457            0.157629
                  15              5.2597             5.92691            0.154157
                  16              5.7642             5.91674            0.144857
                  17              6.4777             5.94974            0.140044
                  18              6.1706             5.96201              0.1328
                  19              5.3607             5.93036            0.129527
                  20              4.8018             5.87394            0.134783
