#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              0.9585              0.9585                   0
                   2              1.3962             1.17735             0.15475
                   3              1.8208             1.39183            0.203254
                   4              1.8243             1.49995            0.178899
                   5              1.6607              1.5321             0.14598
                   6              1.2422             1.48378            0.129399
                   7              1.2282             1.44727             0.11595
                   8                1.79             1.49011            0.109084
                   9              1.6614             1.50914             0.09861
                  10              1.1336             1.47159           0.0956331
                  11              1.9594             1.51594           0.0966759
                  12              1.5351             1.51753           0.0886328
                  13              1.4589             1.51302           0.0819295
                  14               1.389             1.50416           0.0765549
                  15              1.3119             1.49135           0.0725163
                  16              1.1806             1.47193           0.0705369
                  17              0.9238             1.43968           0.0733877
                  18              1.6234             1.44989           0.0700168
                  19              1.6574             1.46081           0.0671781
                  20              1.3057             1.45306           0.0642653
