#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1             42.7183             42.7183                   0
                   2             43.0225             42.8704            0.107551
                   3             44.8224             43.5211            0.536084
                   4             46.1199             44.1708            0.691553
                   5             45.1676             44.3701            0.581269
                   6             44.9111             44.4603            0.491334
                   7             46.4021             44.7377            0.493274
                   8             45.0637             44.7784            0.433295
                   9             46.9241             45.0169            0.445941
                  10             43.6309             44.8783            0.422335
                  11             47.1003             45.0803            0.429542
                  12             46.9386             45.2351            0.420738
                  13             41.8403              44.974            0.462366
                  14             47.6412             45.1645            0.466944
                  15             45.5462             45.1899            0.436507
                  16             47.1834             45.3145            0.426636
                  17             44.9215             45.2914            0.402165
                  18             46.3699             45.3513             0.38426
                  19             47.8575             45.4832            0.386012
                  20             41.6265             45.2904            0.412073
