#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                   1           -0.529308            -0.529308                    0
                   2           -0.533284            -0.531296           0.00140573
                   3            -0.53074            -0.531111          0.000949291
                   4           -0.528628             -0.53049          0.000892087
                   5           -0.529636            -0.530319          0.000729837
                   6            -0.53026            -0.530309          0.000608264
                   7            -0.53114            -0.530428          0.000532819
                   8            -0.53012             -0.53039          0.000467606
                   9           -0.533036            -0.530684          0.000499625
                  10           -0.530684            -0.530684          0.000449663
                  11           -0.532036            -0.530807           0.00042526
                  12           -0.531532            -0.530867          0.000394095
                  13           -0.534268            -0.531129           0.00044217
                  14           -0.533504            -0.531298          0.000441942
                  15           -0.531208            -0.531292           0.00041252
                  16           -0.531592            -0.531311          0.000387163
                  17           -0.532728            -0.531394          0.000373253
                  18           -0.530012            -0.531318          0.000360331
                  19           -0.531076            -0.531305           0.00034159
                  20           -0.531436            -0.531311          0.000324574
