#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             12.6892             12.6892                   0
                   2             12.4469             12.5681            0.085688
                   3             12.6213             12.5858           0.0589368
                   4             12.4095             12.5417             0.05841
                   5             12.6152             12.5564           0.0485429
                   6             12.4774             12.5433           0.0422035
                   7             12.7788             12.5769           0.0477438
                   8             12.5043             12.5678           0.0426296
                   9             12.7718             12.5905           0.0434994
                  10             12.3915             12.5706           0.0434648
                  11             12.7117             12.5834            0.041364
                  12             12.2968             12.5595           0.0442782
                  13             12.5568             12.5593           0.0408727
                  14              12.528             12.5571           0.0380146
                  15              12.612             12.5607           0.0356564
                  16             12.6577             12.5668           0.0339391
                  17             12.4851              12.562           0.0322809
                  18             12.5037             12.5588           0.0306497
                  19             12.8082             12.5719           0.0317234
                  20             12.2875             12.5577           0.0331709
