#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1              16.947              16.947                   0
                   2              17.507              17.227             0.19798
                   3             16.7201              17.058            0.190938
                   4             17.2528             17.1067            0.149283
                   5             17.1482              17.115            0.119656
                   6              16.978             17.0922            0.101869
                   7              17.165             17.1026           0.0878452
                   8              16.951             17.0836           0.0788826
                   9             16.5725             17.0268           0.0882262
                  10             17.0628             17.0304            0.079477
                  11             16.9026             17.0188           0.0730964
                  12             16.9591             17.0138           0.0671743
                  13             16.6133              16.983             0.06871
                  14             16.9953             16.9839           0.0638077
                  15             17.1411             16.9944           0.0604086
                  16             17.0016             16.9948           0.0566347
                  17             17.3631             17.0165           0.0572959
                  18              17.265             17.0303           0.0557516
                  19             17.2151               17.04           0.0536592
                  20             17.5405             17.0651           0.0565112
