#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             172.589             172.589                   0
                   2              177.31             174.949             1.66893
                   3             169.857             173.252             1.77729
                   4             173.038             173.198             1.33377
                   5              176.88             173.935             1.25391
                   6             172.681             173.726             1.06218
                   7             180.051             174.629             1.23644
                   8             169.673              174.01             1.22733
                   9             172.312             173.821             1.10537
                  10             174.456             173.885            0.996651
                  11             177.475             174.211            0.958008
                  12             178.282              174.55            0.936325
                  13             171.957             174.351            0.885303
                  14             177.023             174.542             0.84239
                  15             170.514             174.273             0.82792
                  16             176.296               174.4            0.785767
                  17             177.991             174.611            0.767422
                  18             170.442             174.379            0.758928
                  19             168.401             174.065            0.781487
                  20             176.987             174.211            0.755954
