#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             52.0612             52.0612                   0
                   2             52.8265             52.4438            0.270551
                   3             50.9088             51.9322            0.455059
                   4             50.9489             51.6864            0.402241
                   5             50.6529             51.4797            0.371118
                   6             51.8475              51.541            0.314289
                   7             52.1891             51.6336            0.282702
                   8             50.9834             51.5523            0.258781
                   9             51.6739             51.5658             0.23038
                  10              50.735             51.4827            0.221816
                  11             52.1052             51.5393            0.208743
                  12             51.1485             51.5068            0.193871
                  13             51.9565             51.5413            0.182019
                  14             51.2091             51.5176            0.170558
                  15             51.1402             51.4925            0.161032
                  16              50.776             51.4477            0.157069
                  17             50.4474             51.3888            0.158468
                  18             50.4528             51.3368            0.157967
                  19             51.9201             51.3675            0.152607
                  20             50.7811             51.3382            0.147766
