#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             7.85441             7.85441                   0
                   2             7.77595             7.81518           0.0277419
                   3             8.00457             7.87831           0.0547621
                   4             7.65553             7.82262           0.0633502
                   5             7.98145             7.85438           0.0581011
                   6             7.71126             7.83053           0.0530891
                   7             7.73037             7.81622           0.0473939
                   8             7.93841             7.83149           0.0438618
                   9             7.88708             7.83767           0.0394207
                  10             7.74051             7.82795           0.0366563
                  11             7.80855             7.82619           0.0333663
                  12              7.5593             7.80395           0.0372681
                  13              7.8253             7.80559           0.0344375
                  14             7.76173             7.80246           0.0321199
                  15             7.82845             7.80419           0.0300252
                  16             7.70081             7.79773           0.0288355
                  17             7.76968             7.79608           0.0271865
                  18             7.66185             7.78862           0.0266793
                  19             7.88774             7.79384             0.02578
                  20             7.90405             7.79935           0.0250731
