#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             44.0592             44.0592                   0
                   2             45.7443             44.9018             0.59578
                   3             45.3638             45.0558            0.416615
                   4              43.656             44.7058            0.435288
                   5             44.5088             44.6664            0.350009
                   6             45.6262             44.8264            0.326184
                   7             45.2949             44.8933             0.28637
                   8             43.7496             44.7503            0.284026
                   9             44.6009             44.7337            0.252953
                  10             43.7723             44.6376            0.245248
                  11             45.1893             44.6877            0.228024
                  12             44.0107             44.6313            0.215889
                  13             44.0842             44.5892            0.203342
                  14             45.0039             44.6189            0.190963
                  15             44.9078             44.6381            0.179201
                  16             44.1347             44.6067            0.170741
                  17             44.5075             44.6008            0.160797
                  18             45.9031             44.6732             0.16735
                  19             43.5478              44.614            0.168698
                  20             44.9889             44.6327            0.161302
