#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                   1           -0.348412            -0.348412                    0
                   2           -0.348328             -0.34837          2.96985e-05
                   3           -0.349456            -0.348732          0.000296234
                   4           -0.351724             -0.34948          0.000684828
                   5           -0.347376            -0.349059          0.000664689
                   6            -0.34812            -0.348903          0.000572042
                   7           -0.348212            -0.348804          0.000498759
                   8           -0.348204            -0.348729          0.000442017
                   9             -0.3482             -0.34867          0.000396793
                  10           -0.349344            -0.348738          0.000362789
                  11           -0.347696            -0.348643          0.000341942
                  12           -0.348804            -0.348656          0.000313711
                  13           -0.349544            -0.348725          0.000296917
                  14           -0.347632            -0.348647          0.000285782
                  15           -0.348908            -0.348664           0.00026726
                  16           -0.349992            -0.348747          0.000263129
                  17           -0.349616            -0.348798          0.000252568
                  18            -0.34888            -0.348803          0.000238577
                  19            -0.34962            -0.348846          0.000229866
                  20            -0.34758            -0.348782          0.000226917
