#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             5.76268             5.76268                   0
                   2             5.77526             5.76897          0.00444673
                   3             5.85336              5.7971           0.0231588
                   4             5.82738             5.80467            0.018565
                   5             5.88165             5.82007           0.0202536
                   6             5.76708             5.81124           0.0187043
                   7             5.82122             5.81266           0.0160866
                   8             5.83301             5.81521           0.0142754
                   9             5.77131             5.81033           0.0134969
                  10              5.8822             5.81752           0.0139299
                  11             5.75121             5.81149           0.0139067
                  12             5.71909             5.80379           0.0147259
                  13             5.88106             5.80973           0.0147439
                  14              5.7674             5.80671           0.0139974
                  15             5.83707             5.80873           0.0132097
                  16             5.82569             5.80979           0.0124266
                  17             5.83331             5.81118           0.0117724
                  18              5.7735             5.80908           0.0113029
                  19              5.8637             5.81196           0.0110676
                  20             5.80897             5.81181           0.0105152
