#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             37.4872             37.4872                   0
                   2             38.0374             37.7623            0.194519
                   3             37.8593             37.7946            0.132338
                   4             38.3011             37.9212            0.147903
                   5             37.7628             37.8896            0.121668
                   6             37.2638             37.7853            0.139085
                   7             37.7631             37.7821            0.119252
                   8             37.6167             37.7614            0.106122
                   9             37.6521             37.7493           0.0950234
                  10              37.869             37.7613           0.0862722
                  11             37.0407             37.6957            0.100258
                  12             37.4383             37.6743           0.0941701
                  13             38.1588             37.7116           0.0940134
                  14             37.7292             37.7128           0.0873066
                  15             37.1059             37.6724           0.0903772
                  16             37.7508             37.6773           0.0848616
                  17             38.1388             37.7044           0.0841011
                  18              37.678             37.7029           0.0794417
                  19             37.3881             37.6864            0.076969
                  20             38.2912             37.7166           0.0788378
