#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             774.262             774.262                   0
                   2             770.524             772.393             1.32162
                   3             757.643             767.476             4.10994
                   4             693.381             748.952             16.3355
                   5             707.913             740.744             14.9892
                   6             686.955              731.78             14.9332
                   7             692.393             726.153             13.8193
                   8             798.588             735.207             14.7631
                   9             722.486             733.794             13.1902
                  10             702.377             730.652             12.2396
                  11             774.212             734.612             11.7501
                  12             714.914             732.971              10.885
                  13             759.425             735.006             10.2361
                  14             702.538             732.686             9.76416
                  15             724.256             732.124             9.12938
                  16              761.49              733.96             8.74133
                  17              672.23             730.329             8.94962
                  18             738.172             730.764             8.46302
                  19             758.953             732.248              8.1466
                  20             748.005             733.036             7.77727
