#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             8.88135             8.88135                   0
                   2             8.94101             8.91118           0.0210924
                   3             9.08661             8.96965           0.0497737
                   4             8.80553             8.92862           0.0515389
                   5             8.96811             8.93652           0.0418319
                   6             8.80992             8.91542           0.0398278
                   7              8.8553             8.90683            0.035052
                   8             9.11439             8.93278           0.0391111
                   9             8.83753             8.92219           0.0361689
                  10                 8.8             8.90997           0.0345546
                  11             9.01493             8.91952           0.0327041
                  12             8.85559             8.91419           0.0304095
                  13              8.9499             8.91694           0.0281941
                  14             8.83551             8.91112           0.0267733
                  15             8.89056             8.90975           0.0250235
                  16             9.08021              8.9204           0.0256273
                  17             9.15467             8.93418           0.0275769
                  18              8.8173             8.92769           0.0267985
                  19              9.0167             8.93237           0.0257944
                  20             8.94675             8.93309           0.0245147
