#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                   1           -0.438876            -0.438876                    0
                   2            -0.44084            -0.439858          0.000694379
                   3           -0.438964             -0.43956          0.000522969
                   4           -0.440544            -0.439806          0.000446351
                   5            -0.43838            -0.439521          0.000438837
                   6           -0.438716            -0.439387          0.000385652
                   7           -0.437668            -0.439141          0.000401173
                   8             -0.4391            -0.439136          0.000351059
                   9           -0.439704            -0.439199          0.000317675
                  10           -0.438716            -0.439151          0.000289557
                  11           -0.438876            -0.439126           0.00026431
                  12           -0.439348            -0.439144          0.000242931
                  13           -0.440572            -0.439254          0.000247827
                  14            -0.43954            -0.439275          0.000230965
                  15            -0.43774            -0.439172          0.000237145
                  16           -0.440392            -0.439249          0.000234256
                  17           -0.439744            -0.439278          0.000222282
                  18             -0.4364            -0.439118          0.000261171
                  19           -0.438744            -0.439098          0.000248165
                  20           -0.436964            -0.438991          0.000257678
