#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              1.0893              1.0893                   0
                   2               0.951             1.02015           0.0488964
                   3              1.0659              1.0354           0.0348948
                   4              0.9457             1.01297           0.0325897
                   5              1.0469             1.01976           0.0267687
                   6              0.9643             1.01052           0.0238498
                   7              0.9848             1.00684           0.0207237
                   8              1.1251             1.02163           0.0228038
                   9              0.8064            0.997711           0.0303184
                  10              0.9822             0.99616           0.0273262
                  11              1.1585             1.01092           0.0285505
                  12              1.1442             1.02202           0.0282492
                  13              1.0879             1.02709           0.0265268
                  14              0.8424              1.0139            0.027719
                  15              0.8528             1.00316           0.0278742
                  16              1.0727             1.00751           0.0264687
                  17              0.7977            0.995165           0.0276396
                  18              1.0644            0.999011           0.0263703
                  19              1.1338             1.00611           0.0259191
                  20              0.9342             1.00251           0.0248713
