#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             22.3319             22.3319                   0
                   2             21.5518             21.9419            0.275784
                   3             21.6565             21.8467            0.199593
                   4             22.2588             21.9498            0.174267
                   5             21.7098             21.9018            0.145872
                   6             22.6966             22.0342            0.171468
                   7             21.0376             21.8919             0.19742
                   8             20.8228             21.7582            0.213227
                   9             21.4516             21.7242            0.192238
                  10             21.5742             21.7092            0.173598
                  11             22.0468             21.7399            0.160507
                  12             21.6079             21.7289            0.147508
                  13              21.895             21.7416            0.136714
                  14             22.6594             21.8072            0.141798
                  15             22.7227             21.8682            0.144887
                  16             22.0474             21.8794            0.136263
                  17              21.985             21.8856            0.128389
                  18             22.3152             21.9095            0.123454
                  19             21.6021             21.8933            0.118012
                  20             21.8784             21.8926            0.112114
