#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             600.901             600.901                   0
                   2             539.051             569.976             21.8674
                   3              533.32             557.757             17.6651
                   4             562.546             558.955             13.2893
                   5             556.864             558.536              10.638
                   6             577.019             561.617             9.30032
                   7             557.735             561.062             7.98822
                   8             550.896             559.791             7.09005
                   9             556.388             559.413             6.31234
                  10             550.492             558.521              5.7438
                  11             527.442             555.696             5.87558
                  12             572.236             557.074             5.54527
                  13              581.04             558.918             5.41648
                  14             570.973             559.779             5.09758
                  15             615.596               563.5             5.96322
                  16             599.945             565.778             6.00984
                  17             541.791             564.367             5.81959
                  18             527.945             562.343             5.83746
                  19             565.703              562.52              5.5329
                  20              554.68             562.128             5.27013
