#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                   1           -0.817396            -0.817396                    0
                   2           -0.817104             -0.81725          0.000103238
                   3           -0.812876            -0.815792           0.00119244
                   4           -0.812568            -0.814986           0.00113448
                   5           -0.815544            -0.815098          0.000913059
                   6           -0.815724            -0.815202          0.000766828
                   7            -0.81568             -0.81527          0.000660315
                   8           -0.817064            -0.815495          0.000614665
                   9           -0.813244            -0.815244          0.000595062
                  10           -0.815272            -0.815247          0.000535562
                  11           -0.815784            -0.815296          0.000489093
                  12           -0.815764            -0.815335          0.000449887
                  13           -0.815776            -0.815369          0.000416558
                  14            -0.81626            -0.815433          0.000391636
                  15           -0.814984            -0.815403          0.000366667
                  16           -0.815512             -0.81541          0.000343814
                  17           -0.815916            -0.815439          0.000324878
                  18            -0.81262            -0.815283           0.00034251
                  19           -0.812876            -0.815156          0.000347116
                  20           -0.815612            -0.815179          0.000330508
