#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              1.5554              1.5554                   0
                   2               1.462              1.5087           0.0330219
                   3              1.4915             1.50297           0.0225068
                   4              1.7635              1.5681           0.0588787
                   5               1.051             1.46468            0.103804
                   6              1.3467             1.44502            0.088346
                   7              1.5115             1.45451            0.076234
                   8              1.1976              1.4224           0.0731569
                   9              1.6812             1.45116           0.0704535
                  10              1.6781             1.47385           0.0669636
                  11              1.3193              1.4598           0.0623325
                  12              1.4545             1.45936           0.0571397
                  13               1.234             1.44202           0.0553115
                  14              1.5791             1.45181           0.0522201
                  15              1.3465             1.44479           0.0492085
                  16              1.5191             1.44944           0.0463516
                  17              1.4459             1.44923           0.0436255
                  18              1.7343             1.46507           0.0439827
                  19              1.3367             1.45831           0.0421835
                  20              1.3529             1.45304           0.0404023
