#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             198.196             198.196                   0
                   2             203.607             200.902             1.91315
                   3             196.876              199.56             1.68138
                   4             202.399              200.27             1.40287
                   5              203.05             200.826             1.22754
                   6             201.444             200.929             1.02727
                   7             195.284             200.122             1.15447
                   8             201.203             200.257             1.01803
                   9             193.076             199.459             1.17677
                  10             193.773             198.891             1.18858
                  11             195.667             198.598             1.11608
                  12             201.702             198.856             1.05262
                  13             193.047              198.41             1.06228
                  14             204.519             198.846              1.0723
                  15             201.671             199.034             1.01721
                  16             198.711             199.014            0.953838
                  17             197.935             198.951             0.89984
                  18             201.215             199.076            0.858596
                  19             198.787             199.061            0.813542
                  20             201.381             199.177            0.781087
