#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                   1           -0.663692            -0.663692                    0
                   2           -0.665216            -0.664454          0.000538815
                   3            -0.66316            -0.664023          0.000503055
                   4            -0.66312            -0.663797          0.000424903
                   5           -0.665136            -0.664065          0.000415838
                   6           -0.665076            -0.664233          0.000379148
                   7           -0.664944            -0.664335          0.000338304
                   8           -0.665588            -0.664492          0.000330296
                   9             -0.6622            -0.664237          0.000379239
                  10           -0.663988            -0.664212          0.000342131
                  11           -0.663476            -0.664145          0.000317504
                  12            -0.66438            -0.664165          0.000291648
                  13           -0.665128            -0.664239          0.000278468
                  14            -0.66366            -0.664197          0.000261628
                  15           -0.663444            -0.664147          0.000248961
                  16           -0.665308             -0.66422          0.000243743
                  17           -0.665192            -0.664277          0.000236019
                  18           -0.662764            -0.664193          0.000237403
                  19           -0.664048            -0.664185           0.00022503
                  20            -0.66786            -0.664369          0.000278877
