#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
                   1            -5.01313            -5.01313                   0
                   2            -4.99734            -5.00524          0.00558223
                   3            -5.01982             -5.0101          0.00544054
                   4            -5.00791            -5.00955          0.00410792
                   5            -5.00586            -5.00881          0.00335193
                   6            -4.96836            -5.00207          0.00675948
                   7            -5.02672            -5.00559          0.00664782
                   8            -5.05117            -5.01129          0.00788892
                   9            -5.02235            -5.01252          0.00710755
                  10            -4.98757            -5.01002          0.00682068
                  11             -5.0222            -5.01113          0.00628986
                  12            -5.00635            -5.01073          0.00577828
                  13            -5.00803            -5.01052          0.00533754
                  14            -5.04442            -5.01295          0.00547797
                  15            -5.03804            -5.01462          0.00536212
                  16            -5.03251            -5.01574          0.00514225
                  17            -5.03238            -5.01672          0.00493212
                  18            -5.01988            -5.01689          0.00466124
                  19            -5.01764            -5.01693          0.00441608
                  20            -5.02733            -5.01745          0.00422577
                  21            -5.04512            -5.01877           0.0042249
                  22            -5.00833            -5.01829          0.00405943
                  23             -5.0239            -5.01854          0.00389024
                  24            -5.04363            -5.01958          0.00386612
                  25            -5.03929            -5.02037          0.00379097
                  26            -5.01531            -5.02018          0.00365016
                  27            -5.04147            -5.02097          0.00359918
                  28            -5.01879            -5.02089          0.00347147
                  29            -4.99012            -5.01983          0.00351014
                  30             -5.0034            -5.01928          0.00343555
                  31            -5.05552            -5.02045          0.00351799
                  32            -5.05499            -5.02153          0.00356982
                  33            -5.02566            -5.02165          0.00346384
                  34            -5.01217            -5.02137          0.00337316
                  35            -5.06075             -5.0225          0.00345931
                  36            -5.00181            -5.02192           0.0034106
                  37            -5.02683            -5.02206          0.00332101
                  38            -5.02213            -5.02206          0.00323361
                  39            -5.00652            -5.02166          0.00317515
                  40            -5.02145            -5.02166          0.00309577
                  41            -5.02011            -5.02162          0.00302049
                  42            -5.04076            -5.02207          0.00298278
                  43            -5.03712            -5.02242          0.00293386
                  44            -5.03063            -5.02261           0.0028731
                  45            -5.03274            -5.02284          0.00281807
                  46             -5.0215            -5.02281          0.00275696
                  47            -5.00842             -5.0225          0.00271524
                  48             -5.0051            -5.02214          0.00268275
                  49            -5.04077            -5.02252          0.00265481
                  50            -5.04184             -5.0229           0.0026297
