#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
                   1        2.291187e+00        2.291187e+00        0.000000e+00
                   2        2.135131e+00        2.213159e+00        5.517408e-02
                   3        2.219033e+00        2.215117e+00        3.681744e-02
                   4        2.303816e+00        2.237292e+00        3.363438e-02
                   5        2.149059e+00        2.219645e+00        3.119508e-02
                   6        2.369676e+00        2.244651e+00        3.459531e-02
                   7        2.074508e+00        2.220345e+00        3.722490e-02
                   8        1.944937e+00        2.185919e+00        4.580307e-02
                   9        2.137743e+00        2.180566e+00        4.102544e-02
                  10        2.307508e+00        2.193260e+00        3.883720e-02
                  11        2.091702e+00        2.184027e+00        3.638740e-02
                  12        2.216951e+00        2.186771e+00        3.345840e-02
                  13        2.140012e+00        2.183174e+00        3.107741e-02
                  14        1.977590e+00        2.168490e+00        3.214023e-02
                  15        2.037657e+00        2.159768e+00        3.115858e-02
                  16        2.126216e+00        2.157671e+00        2.928165e-02
                  17        2.045299e+00        2.151060e+00        2.829545e-02
                  18        2.202450e+00        2.153915e+00        2.686712e-02
                  19        2.223103e+00        2.157557e+00        2.569865e-02
                  20        2.041691e+00        2.151764e+00        2.505821e-02
                  21        1.885375e+00        2.139078e+00        2.688471e-02
                  22        2.230212e+00        2.143221e+00        2.597986e-02
                  23        2.228269e+00        2.146919e+00        2.511207e-02
                  24        2.111543e+00        2.145445e+00        2.410895e-02
                  25        2.194812e+00        2.147419e+00        2.322533e-02
                  26        2.212290e+00        2.149914e+00        2.246566e-02
                  27        2.211876e+00        2.152209e+00        2.175049e-02
                  28        2.168036e+00        2.152774e+00        2.098103e-02
                  29        2.308023e+00        2.158128e+00        2.092938e-02
                  30        2.213651e+00        2.159979e+00        2.031340e-02
                  31        2.138775e+00        2.159295e+00        1.966965e-02
                  32        2.124126e+00        2.158196e+00        1.908565e-02
                  33        2.133791e+00        2.157456e+00        1.852162e-02
                  34        2.208895e+00        2.158969e+00        1.803855e-02
                  35        2.117798e+00        2.157793e+00        1.756147e-02
                  36        2.255989e+00        2.160520e+00        1.728419e-02
                  37        2.077922e+00        2.158288e+00        1.696060e-02
                  38        2.132087e+00        2.157598e+00        1.652828e-02
                  39        2.263062e+00        2.160303e+00        1.632419e-02
                  40        2.112361e+00        2.159104e+00        1.596003e-02
                  41        2.182996e+00        2.159687e+00        1.558139e-02
                  42        2.096635e+00        2.158186e+00        1.528256e-02
                  43        2.070955e+00        2.156157e+00        1.506119e-02
                  44        2.160013e+00        2.156245e+00        1.471914e-02
                  45        2.110226e+00        2.155222e+00        1.442753e-02
                  46        2.125368e+00        2.154573e+00        1.412848e-02
                  47        2.157914e+00        2.154644e+00        1.382805e-02
                  48        2.275553e+00        2.157163e+00        1.376748e-02
                  49        2.061627e+00        2.155213e+00        1.362387e-02
                  50        2.027341e+00        2.152656e+00        1.358931e-02
