#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             198.569             198.569                   0
                   2             205.231               201.9             2.35551
                   3             205.311             203.037             1.82428
                   4             194.831             200.986              2.2425
                   5             191.176             199.024             2.50952
                   6             187.663              197.13             2.71308
                   7             197.433             197.174             2.32584
                   8             193.567             196.723             2.07834
                   9             196.918             196.744             1.84753
                  10             199.439             197.014             1.68231
                  11             203.779             197.629             1.63795
                  12             206.567             198.374              1.6622
                  13              206.54             199.002             1.64877
                  14             195.702             198.766             1.54776
                  15             192.163             198.326             1.50588
                  16             195.916             198.175             1.41927
                  17             201.897             198.394             1.35256
                  18             202.785             198.638             1.29923
                  19             185.834             197.964             1.39471
                  20             192.291             197.681             1.35351
