#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             21.8176             21.8176                   0
                   2             21.0323              21.425            0.277619
                   3             22.1107             21.6535            0.262849
                   4             21.7837             21.6861             0.19914
                   5             22.0301             21.7549            0.170787
                   6             21.7289             21.7506            0.142377
                   7             22.5028              21.858            0.157455
                   8             21.0389             21.7556            0.167793
                   9             22.0499             21.7883            0.152301
                  10             21.7114             21.7806            0.137265
                  11             22.1133             21.8109            0.128074
                  12              21.836              21.813            0.117418
                  13             21.8863             21.8186            0.108521
                  14             21.8601             21.8216             0.10081
                  15             20.9101             21.7608              0.1109
                  16             22.1755             21.7867            0.106955
                  17             21.2069             21.7526            0.105962
                  18             22.3153             21.7839            0.104584
                  19             21.2344              21.755            0.103001
                  20             22.2408             21.7793            0.100674
