#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             576.336             576.336                   0
                   2             503.997             540.166             25.5757
                   3             579.679             553.337             20.1586
                   4              586.43             561.611             16.7307
                   5             509.057               551.1             16.3562
                   6             578.201             555.617             14.2402
                   7             600.232              561.99             13.5574
                   8             439.285             546.652             18.6166
                   9              563.88             548.566             16.6462
                  10             569.413             550.651             15.1115
                  11             595.211             554.702             14.2704
                  12             595.071             558.066             13.4719
                  13             539.705             556.654             12.5094
                  14             583.229             558.552              11.759
                  15             462.083             552.121             12.6117
                  16             544.424              551.64             11.8327
                  17             538.605             550.873             11.1614
                  18             483.575             547.134               11.15
                  19             495.736             544.429             10.8864
                  20             603.984             547.407             10.7416
