#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                   1           -0.450464            -0.450464                    0
                   2           -0.452188            -0.451326          0.000609526
                   3           -0.451424            -0.451359          0.000407225
                   4           -0.450732            -0.451202          0.000334199
                   5           -0.448616            -0.450685          0.000534301
                   6           -0.450376            -0.450633          0.000447723
                   7           -0.451544            -0.450763          0.000402219
                   8            -0.45142            -0.450846          0.000360218
                   9           -0.450324            -0.450788          0.000324821
                  10           -0.449816             -0.45069          0.000306524
                  11           -0.449996            -0.450627          0.000285085
                  12           -0.449588            -0.450541          0.000274167
                  13            -0.45122            -0.450593           0.00025801
                  14           -0.450492            -0.450586          0.000239681
                  15            -0.44976            -0.450531          0.000229937
                  16           -0.450864            -0.450552          0.000216507
                  17           -0.452412            -0.450661          0.000229773
                  18           -0.448772            -0.450556          0.000239778
                  19           -0.449876             -0.45052          0.000229813
                  20           -0.448456            -0.450417          0.000240384
