#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             9.27408             9.27408                   0
                   2             9.28329             9.27868          0.00325551
                   3             9.72812              9.4285            0.122342
                   4             9.28936             9.39371           0.0965749
                   5             9.38846             9.39266           0.0772656
                   6             9.21122             9.36242           0.0700565
                   7             9.43049             9.37214           0.0607197
                   8             9.52075             9.39072           0.0558987
                   9             9.33315             9.38432           0.0500525
                  10             9.27578             9.37347           0.0462091
                  11              9.4578             9.38114           0.0426395
                  12              9.4546             9.38726           0.0395232
                  13             9.23718             9.37571           0.0381318
                  14              9.4003             9.37747           0.0354485
                  15             9.42199             9.38044           0.0332093
                  16             9.41989              9.3829           0.0312252
                  17             9.43614             9.38603            0.029545
                  18              9.2603             9.37905           0.0287176
                  19              9.3332             9.37664           0.0273073
                  20             9.69247             9.39243           0.0301643
