#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             62.4539             62.4539                   0
                   2             65.6869             64.0704             1.14303
                   3             63.9583              64.033            0.762629
                   4             64.9921             64.2728            0.608496
                   5              64.097             64.2376            0.487812
                   6             63.1624             64.0584            0.438194
                   7             64.3822             64.1047            0.378027
                   8             63.8446             64.0722            0.332169
                   9             63.8755             64.0503            0.295979
                  10             63.3586             63.9811            0.274344
                  11             64.6611              64.043            0.256274
                  12             62.5201             63.9161            0.264477
                  13             63.4437             63.8797            0.246616
                  14             62.1945             63.7593            0.256702
                  15             63.3478             63.7319             0.24105
                  16              62.664             63.6652            0.235042
                  17             63.4092             63.6501            0.221698
                  18             64.5255             63.6987            0.214649
                  19             63.8221             63.7052             0.20345
                  20             64.3238             63.7362            0.195614
