#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              2.1668              2.1668                   0
                   2              1.9497             2.05825           0.0767564
                   3              2.2962             2.13757           0.0825382
                   4              1.9972             2.10248           0.0689611
                   5              1.6043             2.00284            0.104811
                   6              2.0857             2.01665           0.0882475
                   7              1.6819             1.96883           0.0876453
                   8              2.1139             1.98696           0.0785432
                   9              2.2681              2.0182           0.0757738
                  10              1.9546             2.01184           0.0684628
                  11              1.7896             1.99164           0.0651518
                  12              1.9249             1.98608           0.0599594
                  13              1.8235             1.97357           0.0566363
                  14              2.0556             1.97943           0.0528931
                  15              1.9521             1.97761           0.0493982
                  16              2.2782             1.99639           0.0497553
                  17              1.4778             1.96589           0.0553963
                  18              1.8066             1.95704           0.0530209
                  19              2.0377             1.96128              0.0504
                  20               1.946             1.96052           0.0478858
