#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1               1.061               1.061                   0
                   2              0.8917             0.97635           0.0598566
                   3              0.9937            0.982133           0.0401828
                   4              1.0925             1.00972           0.0384606
                   5              1.2078             1.04934           0.0469274
                   6              1.1298             1.06275           0.0409774
                   7              1.2087              1.0836           0.0400784
                   8               1.347             1.11652           0.0466729
                   9              0.8325             1.08497           0.0510533
                  10              1.2407             1.10054           0.0482648
                  11              1.0703             1.09779           0.0439553
                  12              1.1907             1.10553           0.0409686
                  13              1.1206             1.10669           0.0378336
                  14              1.0582             1.10323           0.0352894
                  15              1.0642             1.10063           0.0330325
                  16              1.4707             1.12376           0.0382172
                  17              1.3301             1.13589           0.0378476
                  18              1.1775             1.13821           0.0358155
                  19              1.2178             1.14239           0.0341746
                  20              0.7685              1.1237           0.0372297
