#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1               0.457               0.457                   0
                   2              0.7107             0.58385           0.0896965
                   3              0.8181            0.661933           0.0874096
                   4              0.8591            0.711225           0.0782304
                   5                0.93             0.75498           0.0738133
                   6              0.5251            0.716667           0.0707592
                   7                0.62            0.702857           0.0619837
                   8              0.8794            0.724925           0.0580313
                   9              0.8643            0.740411           0.0536098
                  10              0.4945             0.71582           0.0535929
                  11              0.8453            0.727591           0.0499968
                  12              0.6268            0.719192           0.0465306
                  13              0.7122            0.718654           0.0429544
                  14              0.5049            0.703386           0.0425132
                  15              0.4799            0.688487           0.0422091
                  16              0.3505            0.667362           0.0445444
                  17              0.4111            0.652288           0.0444016
                  18              0.8885            0.665411           0.0438312
                  19              0.7819            0.671542           0.0419509
                  20              0.6885             0.67239           0.0398619
