#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              0.9096              0.9096                   0
                   2              1.2831             1.09635            0.132052
                   3              1.6881              1.2936            0.183544
                   4              1.6924              1.3933            0.162496
                   5              1.5523              1.4251            0.133072
                   6              1.0711              1.3661            0.123281
                   7              1.0727             1.32419            0.112569
                   8               1.705             1.37179            0.108095
                   9              1.5976             1.39688           0.0989535
                  10              1.0649             1.36368           0.0944629
                  11              1.8171              1.4049           0.0944416
                  12              1.3642             1.40151           0.0866323
                  13              1.3631             1.39855           0.0800186
                  14              1.2277             1.38635           0.0752279
                  15              1.1793             1.37255           0.0714678
                  16              1.0818             1.35437           0.0692728
                  17               0.864             1.32553           0.0709499
                  18              1.5392              1.3374            0.067994
                  19              1.4338             1.34247           0.0646044
                  20              1.2659             1.33865           0.0614876
