#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1               0.492               0.492                   0
                   2              0.8411             0.66655            0.123425
                   3              0.8558            0.729633           0.0970753
                   4              0.9189             0.77695            0.083546
                   5              1.0185             0.82526           0.0795879
                   6              0.5899            0.786033           0.0753728
                   7              0.6935            0.772814           0.0657542
                   8              1.1079              0.8147           0.0696088
                   9              1.0004            0.835333           0.0648605
                  10              0.5486             0.80666           0.0644012
                  11              0.9731            0.821791           0.0602978
                  12              0.7175              0.8131           0.0558958
                  13              0.7824            0.810738            0.051646
                  14              0.5597            0.792807           0.0509749
                  15              0.5676            0.777793           0.0497385
                  16              0.5328            0.762481             0.04893
                  17               0.482            0.745982           0.0487542
                  18              0.9303            0.756222           0.0471087
                  19              0.8776            0.762611           0.0450603
                  20              0.7679            0.762875           0.0428081
