#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                   1            -0.76088             -0.76088                    0
                   2           -0.763608            -0.762244          0.000964494
                   3           -0.759412              -0.7613           0.00100376
                   4           -0.759668            -0.760892          0.000831616
                   5            -0.76074            -0.760862          0.000665849
                   6           -0.762352             -0.76111           0.00059942
                   7           -0.764996            -0.761665          0.000726729
                   8           -0.762056            -0.761714          0.000637528
                   9           -0.763916            -0.761959          0.000611842
                  10           -0.760064            -0.761769          0.000579251
                  11           -0.762536            -0.761839           0.00053077
                  12           -0.760232            -0.761705          0.000503147
                  13           -0.762164             -0.76174          0.000465681
                  14           -0.761392            -0.761715          0.000433082
                  15           -0.759976            -0.761599          0.000419448
                  16           -0.763124            -0.761695           0.00040391
                  17           -0.763724            -0.761814          0.000397398
                  18           -0.760876            -0.761762          0.000378722
                  19           -0.758692              -0.7616          0.000391744
                  20           -0.764356            -0.761738          0.000395645
