#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             377.762             377.762                   0
                   2             359.717             368.739             6.37994
                   3             382.277             373.252             5.62717
                   4             371.211             372.742             4.24344
                   5             340.247             366.243             6.73156
                   6             369.899             366.852             5.63715
                   7             383.285               369.2             5.29815
                   8             338.647              365.38             5.85262
                   9             395.981             368.781             6.11067
                  10             351.581             367.061             5.73655
                  11             367.909             367.138             5.21556
                  12             369.665             367.348             4.78518
                  13             359.535             366.747             4.45468
                  14             372.179             367.135             4.15335
                  15             329.357             364.617             4.57682
                  16             355.261             364.032             4.32796
                  17             357.466             363.646             4.09057
                  18             366.249              363.79             3.86587
                  19             358.952             363.536             3.67078
                  20             371.982             363.958             3.51145
