#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             21.3293             21.3293                   0
                   2             20.5003             20.9148            0.293099
                   3             20.9471             20.9256            0.195598
                   4             21.1205             20.9743            0.152651
                   5             20.8058             20.9406            0.125784
                   6              20.415              20.853            0.131844
                   7             20.7368             20.8364            0.114049
                   8             20.6022             20.8071            0.103481
                   9             20.9241             20.8201           0.0927953
                  10              20.824             20.8205           0.0835166
                  11             20.1647             20.7609           0.0948448
                  12             21.2047             20.7979           0.0938744
                  13             21.1699             20.8265           0.0909106
                  14             20.7104             20.8182           0.0847945
                  15             20.3168             20.7848           0.0854764
                  16             21.3316             20.8189           0.0866981
                  17             20.9469             20.8265           0.0819244
                  18             21.7173              20.876           0.0911028
                  19             20.9805             20.8815            0.086474
                  20             21.3662             20.9057           0.0854789
