#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             3775.58             3775.58                   0
                   2             3965.25             3870.41             67.0573
                   3              4213.3             3984.71             103.477
                   4             3774.53             3932.16             89.9647
                   5              4024.8             3950.69             73.8549
                   6             3874.18             3937.94              62.637
                   7             3867.48             3927.87             54.4916
                   8             3997.51             3936.58             48.3703
                   9             3802.46             3921.68             45.2332
                  10             3972.16             3926.72             40.9907
                  11             3857.38             3920.42              37.746
                  12              4156.9             3940.13             39.4106
                  13             3970.35             3942.45             36.4475
                  14             3672.49             3923.17             38.6096
                  15             3989.38             3927.58             36.2871
                  16             3932.17             3927.87             34.0203
                  17             4335.81             3951.87             39.5876
                  18             3711.29              3938.5             39.5802
                  19              3932.1             3938.16             37.4984
                  20             4148.32             3948.67             37.0665
