#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             17.9284             17.9284                   0
                   2             18.4191             18.1737            0.173478
                   3             14.3979             16.9151             1.03414
                   4             17.3043             17.0124            0.780165
                   5             15.1104              16.632            0.710848
                   6             17.1549             16.7192            0.597692
                   7             16.9931             16.7583            0.513588
                   8             16.9677             16.7845            0.450056
                   9             16.4671             16.7492            0.401429
                  10             16.7292             16.7472            0.361291
                  11             16.6343             16.7369            0.328592
                  12             14.9802             16.5905            0.332225
                  13             18.5799             16.7436            0.340091
                  14             18.1116             16.8413            0.329538
                  15             15.3481             16.7417            0.322253
                  16             16.2962             16.7139            0.303313
                  17              13.654             16.5339            0.334643
                  18             17.0787             16.5642            0.317417
                  19             17.4076             16.6086            0.303799
                  20             14.6032             16.5083            0.304707
