#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             40.3675             40.3675                   0
                   2             42.0673             41.2174            0.600973
                   3             40.1627             40.8658            0.492857
                   4             40.1672             40.6912             0.39939
                   5             41.2308             40.7991            0.333774
                   6             41.7167              40.952            0.311217
                   7             41.1033             40.9736            0.267507
                   8               40.74             40.9444            0.235657
                   9             40.3933             40.8832            0.217284
                  10             41.3579             40.9307            0.200673
                  11             40.5496              40.896            0.185397
                  12              41.397             40.9378            0.174585
                  13             40.3123             40.8897            0.167654
                  14             40.1752             40.8386             0.16326
                  15             40.4052             40.8097            0.154913
                  16             40.5397             40.7929            0.146147
                  17              39.655             40.7259            0.152107
                  18             41.3422             40.7602             0.14746
                  19             40.0102             40.7207            0.144885
                  20             40.6149             40.7154            0.137737
