#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1              6.2959              6.2959                   0
                   2             6.19907             6.24749           0.0342347
                   3             6.31126             6.26874           0.0286721
                   4             6.27869             6.27123           0.0216116
                   5             6.41908              6.3008           0.0315971
                   6             6.28807             6.29868            0.026402
                   7             6.27232             6.29491           0.0228971
                   8             6.37096             6.30442           0.0219194
                   9              6.2658             6.30013           0.0198995
                  10             6.29017             6.29913           0.0179344
                  11              6.2501             6.29467           0.0168488
                  12             6.40604             6.30395           0.0178182
                  13               6.337              6.3065            0.016628
                  14             6.32033             6.30749           0.0154696
                  15             6.23588             6.30271            0.015157
                  16             6.39163             6.30827           0.0151944
                  17             6.34167             6.31023           0.0144271
                  18             6.25628             6.30724           0.0139335
                  19             6.27517             6.30555            0.013302
                  20             6.27838             6.30419            0.012706
