#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                   1            -0.36444             -0.36444                    0
                   2           -0.365048            -0.364744           0.00021496
                   3           -0.364468            -0.364652          0.000161801
                   4           -0.363436            -0.364348          0.000289893
                   5            -0.36338            -0.364154          0.000289429
                   6           -0.363712            -0.364081          0.000250407
                   7           -0.365328            -0.364259           0.00027071
                   8           -0.365856            -0.364458          0.000301634
                   9           -0.362032            -0.364189          0.000369461
                  10             -0.3631             -0.36408          0.000348191
                  11            -0.36234            -0.363922          0.000350632
                  12           -0.364156            -0.363941          0.000321955
                  13           -0.362504            -0.363831          0.000315604
                  14           -0.363888            -0.363835          0.000293087
                  15            -0.36292            -0.363774          0.000279822
                  16           -0.365772            -0.363899          0.000288859
                  17           -0.362616            -0.363823           0.00028155
                  18           -0.362824            -0.363768          0.000271327
                  19           -0.363804             -0.36377          0.000257053
                  20            -0.36406            -0.363784           0.00024461
