#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              6.4421              6.4421                   0
                   2               5.905             6.17355            0.189894
                   3              8.3143             6.88713            0.596233
                   4              5.9081             6.64238            0.494869
                   5              6.2067             6.55524            0.403493
                   6               5.808              6.4307            0.354944
                   7              6.1758             6.39429              0.3061
                   8              6.7169             6.43461            0.270481
                   9              6.6502             6.45857            0.241486
                  10              5.3519              6.3479            0.241367
                  11              5.6018             6.28007            0.228756
                  12              5.5087             6.21579            0.218538
                  13              6.0057             6.19963            0.202324
                  14              5.5157             6.15078            0.193681
                  15              5.4078             6.10125            0.186995
                  16              6.0852             6.10024             0.17531
                  17              4.1502             5.98554            0.199019
                  18              6.3526             6.00593            0.189004
                  19              6.9101             6.05352             0.18495
                  20              5.5528             6.02848            0.177389
