#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             433.747             433.747                   0
                   2             436.163             434.955             0.85426
                   3             484.964             451.625             13.6227
                   4             452.938             451.953              10.221
                   5             441.919             449.946             8.37148
                   6             453.935             450.611             7.00257
                   7             444.392             449.723             6.05831
                   8             397.635             443.212             8.07431
                   9             447.044             443.637             7.18839
                  10             426.032             441.877             6.68167
                  11             453.116             442.899             6.15188
                  12             451.351             443.603              5.6794
                  13             435.873             443.008             5.27356
                  14             453.503             443.758             4.94986
                  15             402.616             441.015             5.32583
                  16             422.364             439.849             5.11896
                  17             450.457             440.473             4.85573
                  18             410.807             438.825             4.85763
                  19             433.935             438.568             4.60878
                  20             451.223             439.201             4.42157
