#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                   1           -0.364044            -0.364044                    0
                   2           -0.363988            -0.364016           1.9799e-05
                   3           -0.365008            -0.364347          0.000270311
                   4           -0.365468            -0.364627          0.000316292
                   5           -0.362232            -0.364148          0.000497573
                   6           -0.364624            -0.364227          0.000420921
                   7           -0.362416            -0.363969          0.000433084
                   8           -0.363076            -0.363857          0.000393057
                   9           -0.364456            -0.363924          0.000354974
                  10            -0.36388            -0.363919          0.000319504
                  11           -0.362328            -0.363775          0.000321541
                  12           -0.362728            -0.363687          0.000306345
                  13           -0.364152            -0.363723          0.000284857
                  14           -0.365104            -0.363822           0.00028107
                  15            -0.36382            -0.363822          0.000262332
                  16           -0.364936            -0.363891          0.000255015
                  17           -0.364092            -0.363903          0.000240287
                  18            -0.36416            -0.363917          0.000227361
                  19            -0.36312            -0.363875          0.000219233
                  20           -0.363448            -0.363854          0.000209311
