#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             2902.02             2902.02                   0
                   2             2384.18              2643.1             183.085
                   3             2798.83             2695.01             129.206
                   4             2743.22             2707.06             97.4652
                   5             2800.28             2725.71             79.7351
                   6             2872.18             2750.12             70.0834
                   7             2842.53             2763.32             61.3022
                   8             2865.84             2776.14             54.9627
                   9              2424.2             2737.03             61.2056
                  10             2628.84             2726.21             56.0331
                  11              3069.8             2757.45             59.0061
                  12             3058.02             2782.49             59.1668
                  13             2514.39             2761.87             58.0987
                  14             2719.76             2758.86             54.0266
                  15             2919.66             2769.58             51.4773
                  16             2943.85             2780.48             49.3988
                  17             2701.62             2775.84             46.7103
                  18             2654.43             2769.09             44.5996
                  19             2854.14             2773.57             42.4762
                  20             2748.76             2772.33             40.3705
