#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             20.0119             20.0119                   0
                   2             20.4682             20.2401            0.161322
                   3             20.5305             20.3369            0.133475
                   4             20.6486             20.4148            0.120729
                   5             19.2904             20.1899            0.223126
                   6             21.0435             20.3322            0.226799
                   7             21.1975             20.4558            0.225588
                   8             20.1592             20.4187            0.200414
                   9             21.0591             20.4899            0.190356
                  10              20.807             20.5216            0.173941
                  11             19.4881             20.4276             0.18174
                  12              19.579             20.3569            0.179829
                  13             21.0055             20.4068            0.172779
                  14             20.8123             20.4358            0.162847
                  15              20.961             20.4708            0.155709
                  16             18.6117             20.3546            0.184301
                  17             21.0459             20.3953            0.177889
                  18             21.8941             20.4785             0.18648
                  19             21.1545             20.5141            0.180028
                  20             20.7104             20.5239            0.171294
