#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              8.1457              8.1457                   0
                   2              6.5748             7.36025            0.555397
                   3              9.7594             8.15997             0.75064
                   4              7.2603             7.93505            0.595724
                   5              7.1299             7.77402            0.497868
                   6              6.7418             7.60198            0.443619
                   7              7.7768             7.62696            0.380947
                   8              8.2984             7.71089            0.342449
                   9              8.1339             7.75789            0.307608
                  10              7.0184             7.68394            0.285598
                  11              6.8165             7.60508            0.270302
                  12              6.3451             7.50008            0.267394
                  13              7.0322             7.46409            0.249235
                  14              6.6879             7.40865            0.237519
                  15              6.7378             7.36393            0.225856
                  16              7.9929             7.40324            0.215134
                  17              6.0479             7.32351            0.216749
                  18              8.1054             7.36695            0.209015
                  19              8.7769             7.44116            0.210776
                  20              7.4923             7.44372            0.200252
