#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              0.6545              0.6545                   0
                   2              0.7063              0.6804           0.0183141
                   3              0.5781              0.6463           0.0304019
                   4               0.882            0.705225           0.0558929
                   5              0.6638             0.69694           0.0453242
                   6              0.5423            0.671167           0.0444988
                   7              0.7068            0.676257           0.0384319
                   8              0.6938             0.67845           0.0336904
                   9              0.3351              0.6403           0.0468031
                  10              0.3754             0.61381           0.0490498
                  11              0.7777            0.628709           0.0467989
                  12              0.7875            0.641942           0.0447306
                  13              0.6518              0.6427           0.0412962
                  14              0.4688            0.630279           0.0401712
                  15              0.4141            0.615867           0.0399949
                  16              0.6684             0.61915           0.0376297
                  17              0.6918            0.623424           0.0356581
                  18              0.5991            0.622072           0.0337027
                  19              0.7106            0.626732           0.0322493
                  20              0.7931             0.63505           0.0316915
