#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             8.09262             8.09262                   0
                   2             8.07181             8.08221          0.00735568
                   3             8.30314             8.15585            0.060328
                   4             8.14143             8.15225           0.0453536
                   5             8.26614             8.17503           0.0416115
                   6             8.05793             8.15551            0.038985
                   7             8.07765             8.14439           0.0349664
                   8             8.20708             8.15223           0.0314615
                   9             8.16908              8.1541           0.0280214
                  10             8.05802             8.14449           0.0268159
                  11             8.11728             8.14202           0.0244919
                  12             7.99197             8.12951           0.0254432
                  13             8.06664             8.12468           0.0239413
                  14               8.167              8.1277           0.0224213
                  15             8.21864             8.13376           0.0217307
                  16             8.16249             8.13556           0.0204466
                  17             8.15177             8.13651           0.0192661
                  18             8.05251             8.13185           0.0187524
                  19             8.23091             8.13706            0.018476
                  20             8.19942             8.14018           0.0178134
