#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1              54.439              54.439                   0
                   2             54.8921             54.6656            0.160183
                   3             53.5596             54.2969            0.319396
                   4             53.0668             53.9894            0.358211
                   5             54.1128              54.014            0.287419
                   6             53.6936             53.9606            0.244427
                   7             55.1191             54.1261            0.259558
                   8             54.4916             54.1718            0.231098
                   9             53.2007             54.0639             0.22923
                  10              54.901             54.1476            0.221062
                  11             54.9554             54.2211            0.212813
                  12             54.4497             54.2401             0.19593
                  13             54.5814             54.2664            0.182609
                  14             54.3818             54.2746            0.169751
                  15             54.4826             54.2885               0.159
                  16             53.9909             54.2699            0.150146
                  17             53.9433             54.2507            0.142537
                  18              54.624             54.2714            0.136119
                  19             54.8315             54.3009            0.132108
                  20             53.9877             54.2852            0.126427
