#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1               3.174               3.174                   0
                   2              3.6041             3.38905            0.152063
                   3              4.0607             3.61293            0.209028
                   4              3.5533             3.59802            0.157302
                   5              3.3501             3.54844            0.133428
                   6              3.0044             3.45777            0.138617
                   7              3.4476             3.45631            0.118822
                   8              4.0701             3.53304            0.126334
                   9              4.3768             3.62679             0.14291
                  10              2.8647             3.55058            0.147546
                  11              3.7929             3.57261            0.135767
                  12              2.9074             3.51718            0.135298
                  13              3.2371             3.49563            0.126594
                  14              3.6565             3.50712            0.118072
                  15              3.6923             3.51947            0.110844
                  16              2.7624             3.47215            0.113567
                  17               2.436              3.4112            0.122152
                  18              4.4021             3.46625            0.127167
                  19              2.8559             3.43413            0.124465
                  20              3.0419             3.41452            0.119777
