#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              2.4582              2.4582                   0
                   2              2.6153             2.53675           0.0555432
                   3              2.4163              2.4966           0.0494552
                   4              2.4409             2.48268           0.0390026
                   5              2.5306             2.49226           0.0323584
                   6              2.7322             2.53225            0.045385
                   7              2.4986             2.52744           0.0391552
                   8              2.6075             2.53745           0.0355165
                   9              2.2864             2.50956           0.0410892
                  10              2.4592             2.50452           0.0372876
                  11              2.5647             2.50999           0.0342968
                  12              2.5477             2.51313           0.0315824
                  13              2.6396             2.52286           0.0306146
                  14              2.7062             2.53596           0.0311029
                  15              2.1733             2.51178           0.0372595
                  16              2.3472             2.50149           0.0363229
                  17              2.9963              2.5306             0.04434
                  18              2.4739             2.52745           0.0419884
                  19              2.9357             2.54894           0.0449413
                  20               3.219             2.58244           0.0537506
